Law,Index,LawName,CleanLaw
"
 (4) 18/6/2014 tarihli ve 6545 sayılı Kanunun 67 nci maddesiyle, bu maddenin birinci ve ikinci fıkralarında yer alan “iki yıldan beş”
 ibareleri “beş yıldan on” şeklinde değiştirilmiştir",192,, tarihli sayılı kanunun nci maddesiyle maddenin birinci ikinci fıkralarında yer alan yıldan beş ibareleri beş yıldan şeklinde değiştirilmiştir
"
 (5) 15/8/2017 tarihli ve 694 sayılı KHK’nin 138 inci maddesiyle, bu fıkrada yer alan ““on yıla kadar hapis” ibaresinden sonra gelmek
 üzere “ve bin günden onbin güne kadar adlî para” ibaresi eklenmiş, daha sonra bu hüküm 1/2/2018 tarihli ve 7078 sayılı Kanunun 133
 üncü maddesiyle aynen kabul edilerek kanunlaşmıştır",192,, tarihli sayılı khk nin inci maddesiyle fıkrada yer alan yıla hapis ibaresinden gelmek günden onbin güne adlî para ibaresi eklenmiş hüküm tarihli sayılı kanunun üncü maddesiyle kabul edilerek kanunlaşmıştır
"
 9012-1
 (2) Uyuşturucu veya uyarıcı madde kullanılmasını alenen özendiren veya bu nitelikte yayın yapan kişi, beş yıldan on yıla kadar hapis
 ve bin günden onbin güne kadar adlî para cezası ile cezalandırılır",192,, uyuşturucu uyarıcı madde kullanılmasını alenen özendiren nitelikte yayın yapan kişi beş yıldan yıla hapis günden onbin güne adlî para cezası cezalandırılır
"(1)(2)(3)
 (3) Bu maddede tanımlanan suçların tabip, diş tabibi, eczacı, kimyager, veteriner, sağlık memuru, laborant, ebe, hemşire, diş
 teknisyeni, hastabakıcı, sağlık hizmeti veren, kimyacılıkla veya ecza ticareti ile iştigal eden kişi tarafından işlenmesi halinde, verilecek ceza
 yarı oranında artırılır",192,, maddede tanımlanan suçların tabip diş tabibi eczacı kimyager veteriner sağlık memuru laborant ebe hemşire diş teknisyeni hastabakıcı sağlık hizmeti veren kimyacılıkla ecza ticareti iştigal kişi işlenmesi halinde verilecek ceza yarı oranında artırılır
"(1)
 Kullanmak için uyuşturucu veya uyarıcı madde satın almak, kabul etmek veya bulundurmak ya da uyuşturucu veya uyarıcı madde
 kullanmak (4)
 Madde 191- (Değişik: 18/6/2014 – 6545/68 md",193,Madde 191, kullanmak uyuşturucu uyarıcı madde satın almak kabul etmek bulundurmak uyuşturucu uyarıcı madde kullanmak madde değişik md
")
 (1) Kullanmak için uyuşturucu veya uyarıcı madde satın alan, kabul eden veya bulunduran ya da uyuşturucu veya uyarıcı madde
 kullanan kişi, iki yıldan beş yıla kadar hapis cezası ile cezalandırılır",193,Madde 191, kullanmak uyuşturucu uyarıcı madde satın alan kabul bulunduran uyuşturucu uyarıcı madde kullanan kişi yıldan beş yıla hapis cezası cezalandırılır
"
 (2) Bu suçtan dolayı başlatılan soruşturmada şüpheli hakkında 4/12/2004 tarihli ve 5271 sayılı Ceza Muhakemesi Kanununun 171
 inci maddesindeki şartlar aranmaksızın, beş yıl süreyle kamu davasının açılmasının ertelenmesine karar verilir",193,Madde 191, suçtan başlatılan soruşturmada şüpheli hakkında tarihli sayılı ceza muhakemesi kanununun inci maddesindeki şartlar aranmaksızın beş yıl süreyle kamu davasının açılmasının ertelenmesine karar verilir
" Cumhuriyet savcısı, bu
 durumda şüpheliyi, erteleme süresi zarfında kendisine yüklenen yükümlülüklere uygun davranmadığı veya yasakları ihlal ettiği takdirde
 kendisi bakımından ortaya çıkabilecek sonuçlar konusunda uyarır",193,Madde 191, cumhuriyet savcısı durumda şüpheliyi erteleme süresi yüklenen yükümlülüklere uygun davranmadığı yasakları ihlal takdirde bakımından ortaya çıkabilecek sonuçlar konusunda uyarır
"
 (3) Erteleme süresi zarfında şüpheli hakkında asgari bir yıl süreyle denetimli serbestlik tedbiri uygulanır",193,Madde 191, erteleme süresi şüpheli hakkında asgari yıl süreyle denetimli serbestlik tedbiri uygulanır
" Bu süre Cumhuriyet
 savcısının kararı ile üçer aylık sürelerle en fazla bir yıl daha uzatılabilir",193,Madde 191, süre cumhuriyet savcısının kararı üçer aylık sürelerle yıl uzatılabilir
" Hakkında denetimli serbestlik tedbiri verilen kişi, gerek görülmesi
 hâlinde denetimli serbestlik süresi içinde tedaviye tabi tutulabilir",193,Madde 191, hakkında denetimli serbestlik tedbiri verilen kişi görülmesi hâlinde denetimli serbestlik süresi içinde tedaviye tabi tutulabilir
"
 (4) Kişinin, erteleme süresi zarfında;
 a) Kendisine yüklenen yükümlülüklere veya uygulanan tedavinin gereklerine uygun davranmamakta ısrar etmesi,
 b) Tekrar kullanmak için uyuşturucu veya uyarıcı madde satın alması, kabul etmesi veya bulundurması,
 c) Uyuşturucu veya uyarıcı madde kullanması,
 hâlinde, hakkında kamu davası açılır",193,Madde 191, kişinin erteleme süresi yüklenen yükümlülüklere uygulanan tedavinin gereklerine uygun davranmamakta ısrar tekrar kullanmak uyuşturucu uyarıcı madde satın alması kabul bulundurması uyuşturucu uyarıcı madde kullanması hâlinde hakkında kamu davası açılır
"
 (5) Erteleme süresi zarfında kişinin kullanmak için tekrar uyuşturucu veya uyarıcı madde satın alması, kabul etmesi veya
 bulundurması ya da uyuşturucu veya uyarıcı madde kullanması, dördüncü fıkra uyarınca ihlal nedeni sayılır ve ayrı bir soruşturma ve
 kovuşturma konusu yapılmaz",193,Madde 191, erteleme süresi kişinin kullanmak tekrar uyuşturucu uyarıcı madde satın alması kabul bulundurması uyuşturucu uyarıcı madde kullanması dördüncü fıkra uyarınca ihlal nedeni sayılır ayrı soruşturma kovuşturma konusu yapılmaz
"
 __________________________
 (1) 18/6/2014 tarihli ve 6545 sayılı Kanunun 67 nci maddesiyle, bu maddenin birinci ve ikinci fıkralarında yer alan “iki yıldan beş”
 ibareleri “beş yıldan on” şeklinde değiştirilmiştir",193,Madde 191, tarihli sayılı kanunun nci maddesiyle maddenin birinci ikinci fıkralarında yer alan yıldan beş ibareleri beş yıldan şeklinde değiştirilmiştir
"
 (2) 29/6/2005 tarihli ve 5377 sayılı Kanunun 23 üncü maddesiyle, bu maddenin ikinci fıkrası üçüncü fıkra, üçüncü fıkrası ise ikinci fıkra
 olarak değiştirilmiştir",193,Madde 191, tarihli sayılı kanunun üncü maddesiyle maddenin ikinci fıkrası üçüncü fıkra üçüncü fıkrası ikinci fıkra değiştirilmiştir
"
 (3) 15/8/2017 tarihli ve 694 sayılı KHK’nin 138 inci maddesiyle, bu fıkrada yer alan ““on yıla kadar hapis” ibaresinden sonra gelmek
 üzere “ve bin günden onbin güne kadar adlî para” ibaresi eklenmiş, daha sonra bu hüküm 1/2/2018 tarihli ve 7078 sayılı Kanunun 133
 üncü maddesiyle aynen kabul edilerek kanunlaşmıştır",193,Madde 191, tarihli sayılı khk nin inci maddesiyle fıkrada yer alan yıla hapis ibaresinden gelmek günden onbin güne adlî para ibaresi eklenmiş hüküm tarihli sayılı kanunun üncü maddesiyle kabul edilerek kanunlaşmıştır
"
 (4) Bu maddenin başlığı “Kullanmak için uyuşturucu veya uyarıcı madde satın almak, kabul etmek veya bulundurmak” iken, 18/6/2014
 tarihli ve 6545 sayılı Kanunun 68 inci maddesiyle metne işlendiği şekilde değiştirilmiştir",193,Madde 191, maddenin başlığı kullanmak uyuşturucu uyarıcı madde satın almak kabul etmek bulundurmak tarihli sayılı kanunun inci maddesiyle metne işlendiği şekilde değiştirilmiştir
"
 9012-2
 (6) Dördüncü fıkraya göre kamu davasının açılmasından sonra, birinci fıkrada tanımlanan suçun tekrar işlendiği
 iddiasıyla açılan soruşturmalarda ikinci fıkra uyarınca kamu davasının açılmasının ertelenmesi kararı verilemez",193,Madde 191, dördüncü fıkraya kamu davasının açılmasından birinci fıkrada tanımlanan suçun tekrar işlendiği iddiasıyla açılan soruşturmalarda ikinci fıkra uyarınca kamu davasının açılmasının ertelenmesi kararı verilemez
"
 (7) Şüpheli erteleme süresi zarfında dördüncü fıkrada belirtilen yükümlülüklere aykırı davranmadığı ve yasakları ihlal
 etmediği takdirde, hakkında kovuşturmaya yer olmadığı kararı verilir",193,Madde 191, şüpheli erteleme süresi dördüncü fıkrada belirtilen yükümlülüklere aykırı davranmadığı yasakları ihlal etmediği takdirde hakkında kovuşturmaya yer olmadığı kararı verilir
"
 (8) Bu Kanunun;
 a) 188 inci maddesinde tanımlanan uyuşturucu veya uyarıcı madde imal ve ticareti,
 b) 190 ıncı maddesinde tanımlanan uyuşturucu veya uyarıcı madde kullanılmasını kolaylaştırma,
 suçundan dolayı yapılan kovuşturma evresinde, suçun münhasıran bu madde kapsamına girdiğinin anlaşılması
 hâlinde, sanık hakkında bu madde hükümleri çerçevesinde hükmün açıklanmasının geri bırakılması kararı verilir",193,Madde 191, kanunun inci maddesinde tanımlanan uyuşturucu uyarıcı madde imal ticareti ıncı maddesinde tanımlanan uyuşturucu uyarıcı madde kullanılmasını kolaylaştırma suçundan kovuşturma evresinde suçun münhasıran madde kapsamına girdiğinin anlaşılması hâlinde sanık hakkında madde hükümleri çerçevesinde hükmün açıklanmasının geri bırakılması kararı verilir
"
 (9) Bu maddede aksine düzenleme bulunmayan hâllerde, Ceza Muhakemesi Kanununun kamu davasının açılmasının
 ertelenmesine ilişkin 171 inci maddesi veya hükmün açıklanmasının geri bırakılmasına ilişkin 231 inci maddesi hükümleri
 uygulanır",193,Madde 191, maddede aksine düzenleme bulunmayan hâllerde ceza muhakemesi kanununun kamu davasının açılmasının ertelenmesine ilişkin inci maddesi hükmün açıklanmasının geri bırakılmasına ilişkin inci maddesi hükümleri uygulanır
"
 (10) (Ek: 27/3/2015-6638/12 md",193,Madde 191, ek md
") Birinci fıkradaki fiillerin; okul, yurt, hastane, kışla veya ibadethane gibi tedavi,
 eğitim, askerî ve sosyal amaçla toplu bulunulan bina ve tesisler ile bunların varsa çevre duvarı, tel örgü veya benzeri engel
 veya işaretlerle belirlenen sınırlarına iki yüz metreden yakın mesafe içindeki umumi veya umuma açık yerlerde işlenmesi
 hâlinde verilecek ceza yarı oranında artırılır",193,Madde 191, birinci fıkradaki fiillerin okul yurt hastane kışla ibadethane tedavi eğitim askerî sosyal amaçla toplu bulunulan bina tesisler varsa çevre duvarı tel örgü benzeri engel işaretlerle belirlenen sınırlarına metreden yakın mesafe içindeki umumi umuma açık yerlerde işlenmesi hâlinde verilecek ceza yarı oranında artırılır
"
 9013
 Etkin pişmanlık
  Madde 192- (1) Uyuşturucu veya uyarıcı madde imal ve ticareti suçlarına iştirak etmiş olan kişi, resmi makamlar tarafından haber
 alınmadan önce, diğer suç ortaklarını ve uyuşturucu veya uyarıcı maddelerin saklandığı veya imal edildiği yerleri merciine haber verirse,
 verilen bilginin suç ortaklarının yakalanmasını veya uyuşturucu veya uyarıcı maddenin ele geçirilmesini sağlaması halinde, hakkında cezaya
 hükmolunmaz",194,, etkin pişmanlık madde uyuşturucu uyarıcı madde imal ticareti suçlarına iştirak etmiş kişi resmi makamlar haber alınmadan suç ortaklarını uyuşturucu uyarıcı maddelerin saklandığı imal edildiği yerleri merciine haber verirse verilen bilginin suç ortaklarının yakalanmasını uyuşturucu uyarıcı maddenin ele geçirilmesini sağlaması halinde hakkında cezaya hükmolunmaz
"
 (2) Kullanmak için uyuşturucu veya uyarıcı madde satın alan, kabul eden veya bulunduran kişi, resmi makamlar tarafından haber
 alınmadan önce, bu maddeyi kimden, nerede ve ne zaman temin ettiğini merciine haber vererek suçluların yakalanmalarını veya uyuşturucu
 veya uyarıcı maddenin ele geçirilmesini kolaylaştırırsa, hakkında cezaya hükmolunmaz",194,, kullanmak uyuşturucu uyarıcı madde satın alan kabul bulunduran kişi resmi makamlar haber alınmadan maddeyi zaman temin merciine haber vererek suçluların yakalanmalarını uyuşturucu uyarıcı maddenin ele geçirilmesini kolaylaştırırsa hakkında cezaya hükmolunmaz
"
 (3) Bu suçlar haber alındıktan sonra gönüllü olarak, suçun meydana çıkmasına ve fail veya diğer suç ortaklarının yakalanmasına
 hizmet ve yardım eden kişi hakkında verilecek ceza, yardımın niteliğine göre dörtte birden yarısına kadarı indirilir",194,, suçlar haber alındıktan gönüllü suçun meydana çıkmasına fail suç ortaklarının yakalanmasına hizmet yardım kişi hakkında verilecek ceza yardımın niteliğine dörtte yarısına kadarı indirilir
"
 (4) Uyuşturucu veya uyarıcı madde kullanan kişi, hakkında kullanmak için uyuşturucu veya uyarıcı madde satın almak, kabul etmek
 veya bulundurmaktan dolayı soruşturma başlatılmadan önce resmi makamlara veya sağlık kuruluşlarına başvurarak tedavi ettirilmesini
 isterse, cezaya hükmolunmaz",194,, uyuşturucu uyarıcı madde kullanan kişi hakkında kullanmak uyuşturucu uyarıcı madde satın almak kabul etmek bulundurmaktan soruşturma başlatılmadan resmi makamlara sağlık kuruluşlarına başvurarak tedavi ettirilmesini isterse cezaya hükmolunmaz
[' (Ek cümle: 24/11/2016-6763/16 md'],194,, ek cümle md
") Bu durumda kamu görevlileri ile sağlık mesleği mensuplarının 279
 uncu ve 280 inci maddeler uyarınca suçu bildirme yükümlülüğü doğmaz",194,, durumda kamu görevlileri sağlık mesleği mensuplarının uncu inci maddeler uyarınca suçu bildirme yükümlülüğü doğmaz
" (1)
 Zehirli madde imal ve ticareti
  Madde 193- (1) İçeriğinde zehir bulunan ve üretilmesi, bulundurulması veya satılması izne bağlı olan maddeyi izinsiz olarak üreten,
 bulunduran, satan veya nakleden kişi, iki aydan bir yıla kadar hapis cezası ile cezalandırılır",195,Madde 193, zehirli madde imal ticareti madde içeriğinde zehir bulunan üretilmesi bulundurulması satılması izne bağlı maddeyi izinsiz üreten bulunduran satan nakleden kişi aydan yıla hapis cezası cezalandırılır
"
 Sağlık için tehlikeli madde temini
 Madde 194- (1) Sağlık için tehlike oluşturabilecek maddeleri çocuklara, akıl hastalarına veya uçucu madde kullananlara veren veya
 tüketimine sunan kişi, altı aydan bir yıla kadar hapis cezası ile cezalandırılır",196,, sağlık tehlikeli madde temini madde sağlık tehlike oluşturabilecek maddeleri çocuklara akıl hastalarına uçucu madde kullananlara veren tüketimine sunan kişi altı aydan yıla hapis cezası cezalandırılır
"
 Bulaşıcı hastalıklara ilişkin tedbirlere aykırı davranma
 Madde 195- (1) Bulaşıcı hastalıklardan birine yakalanmış veya bu hastalıklardan ölmüş kimsenin bulunduğu yerin karantina altına
 alınmasına dair yetkili makamlarca alınan tedbirlere uymayan kişi, iki aydan bir yıla kadar hapis cezası ile cezalandırılır",197,Madde 195, bulaşıcı hastalıklara ilişkin tedbirlere aykırı davranma madde bulaşıcı hastalıklardan yakalanmış hastalıklardan ölmüş kimsenin bulunduğu yerin karantina altına alınmasına yetkili makamlarca alınan tedbirlere uymayan kişi aydan yıla hapis cezası cezalandırılır
"
 Usulsüz ölü gömülmesi
  Madde 196- (1) Ölü gömülmesine ayrılan yerlerden başka yerlere ölü gömen veya gömdüren kişi, altı aya kadar hapis cezası ile
 cezalandırılır",198,Madde 196, usulsüz ölü gömülmesi madde ölü gömülmesine ayrılan yerlerden yerlere ölü gömen gömdüren kişi altı aya hapis cezası cezalandırılır
"
 DÖRDÜNCÜ BÖLÜM
 Kamu Güvenine Karşı Suçlar
 Parada sahtecilik
 Madde 197- (1) Memlekette veya yabancı ülkelerde kanunen tedavülde bulunan parayı, sahte olarak üreten, ülkeye sokan, nakleden,
 muhafaza eden veya tedavüle koyan kişi, iki yıldan oniki yıla kadar hapis ve onbin güne kadar adlî para cezası ile cezalandırılır",199,Madde 197, dördüncü bölüm kamu güvenine karşı suçlar parada sahtecilik madde memlekette yabancı ülkelerde kanunen tedavülde bulunan parayı sahte üreten ülkeye sokan nakleden muhafaza tedavüle koyan kişi yıldan oniki yıla hapis onbin güne adlî para cezası cezalandırılır
"
 (2) Sahte parayı bilerek kabul eden kişi, bir yıldan üç yıla kadar hapis ve adlî para cezası ile cezalandırılır",199,Madde 197, sahte parayı bilerek kabul kişi yıldan yıla hapis adlî para cezası cezalandırılır
"
 –––––––––––––––––
 (1) 24/11/2016 tarihli ve 6763 sayılı Kanunun 17 nci maddesiyle, bu fıkraya “makamlara” ibaresinden sonra gelmek üzere “veya sağlık
 kuruluşlarına” ibaresi eklenmiştir",199,Madde 197, tarihli sayılı kanunun nci maddesiyle fıkraya makamlara ibaresinden gelmek sağlık kuruluşlarına ibaresi eklenmiştir
"
 9014
 (3) Sahteliğini bilmeden kabul ettiği parayı bu niteliğini bilerek tedavüle koyan kişi, üç aydan bir yıla kadar hapis
 cezası ile cezalandırılır",199,Madde 197, sahteliğini bilmeden kabul parayı niteliğini bilerek tedavüle koyan kişi aydan yıla hapis cezası cezalandırılır
"
 Paraya eşit sayılan değerler
 Madde 198- (1) Devlet tarafından ihraç edilip de hamiline yazılı bonolar, hisse senetleri, tahviller ve kuponlar, yetkili
 kurumlar tarafından çıkarılmış olup da kanunen tedavül eden senetler, tahviller ve evrak ile milli ziynet altınları, para
 hükmündedir",200,Madde 198, paraya eşit sayılan değerler madde devlet ihraç edilip hamiline yazılı bonolar hisse senetleri tahviller kuponlar yetkili kurumlar çıkarılmış kanunen tedavül senetler tahviller evrak milli ziynet altınları para hükmündedir
"
 Kıymetli damgada sahtecilik
 Madde 199- (1) Kıymetli damgayı sahte olarak üreten, ülkeye sokan, nakleden, muhafaza eden veya tedavüle koyan
 kişi, bir yıldan beş yıla kadar hapis ve adlî para cezası ile cezalandırılır",201,Madde 199, kıymetli damgada sahtecilik madde kıymetli damgayı sahte üreten ülkeye sokan nakleden muhafaza tedavüle koyan kişi yıldan beş yıla hapis adlî para cezası cezalandırılır
"
 (2) Sahte olarak üretilmiş kıymetli damgayı bilerek kabul eden kişi, üç aydan bir yıla kadar hapis ve adlî para cezası
 ile cezalandırılır",201,Madde 199, sahte üretilmiş kıymetli damgayı bilerek kabul kişi aydan yıla hapis adlî para cezası cezalandırılır
"
 (3) Sahteliğini bilmeden kabul ettiği kıymetli damgayı bu niteliğini bilerek tedavüle koyan kişi, bir aydan altı aya
 kadar hapis cezası ile cezalandırılır",201,Madde 199, sahteliğini bilmeden kabul kıymetli damgayı niteliğini bilerek tedavüle koyan kişi aydan altı aya hapis cezası cezalandırılır
"
 (4) Damgalı kağıtlar, damga ve posta pulları ve muayyen bir miktar vergi veya harcın ödendiğini belgelemek
 amacıyla kullanılan pullar, kıymetli damga sayılır",201,Madde 199, damgalı kağıtlar damga posta pulları muayyen miktar vergi harcın ödendiğini belgelemek amacıyla kullanılan pullar kıymetli damga sayılır
"
 Para ve kıymetli damgaları yapmaya yarayan araçlar
 Madde 200- (1) Paralarla kıymetli damgaların üretiminde kullanılan alet veya malzemeyi izinsiz olarak üreten,
 ülkeye sokan, satan, devreden, satın alan, kabul eden veya muhafaza eden kişi, bir yıldan dört yıla kadar hapis ve adlî para
 cezası ile cezalandırılır",202,Madde 200, para kıymetli damgaları yapmaya yarayan araçlar madde paralarla kıymetli damgaların üretiminde kullanılan alet malzemeyi izinsiz üreten ülkeye sokan satan devreden satın alan kabul muhafaza kişi yıldan yıla hapis adlî para cezası cezalandırılır
"
 Etkin pişmanlık
 Madde 201- (1) Sahte olarak para veya kıymetli damga üreten, ülkeye sokan, nakleden, muhafaza eden veya kabul
 eden kişi, bu para veya kıymetli damgaları tedavüle koymadan ve resmi makamlar tarafından haber alınmadan önce, diğer
 suç ortaklarını ve sahte olarak üretilen para veya kıymetli damgaların üretildiği veya saklandığı yerleri merciine haber
 verirse, verilen bilginin suç ortaklarının yakalanmasını ve sahte olarak üretilen para veya kıymetli damgaların ele
 geçirilmesini sağlaması halinde, hakkında cezaya hükmolunmaz",203,Madde 201, etkin pişmanlık madde sahte para kıymetli damga üreten ülkeye sokan nakleden muhafaza kabul kişi para kıymetli damgaları tedavüle koymadan resmi makamlar haber alınmadan suç ortaklarını sahte üretilen para kıymetli damgaların üretildiği saklandığı yerleri merciine haber verirse verilen bilginin suç ortaklarının yakalanmasını sahte üretilen para kıymetli damgaların ele geçirilmesini sağlaması halinde hakkında cezaya hükmolunmaz
"
 (2) Sahte para veya kıymetli damga üretiminde kullanılan alet ve malzemeyi izinsiz olarak üreten, ülkeye sokan,
 satan, devreden, satın alan, kabul eden veya muhafaza eden kişi, resmi makamlar tarafından haber alınmadan önce, diğer suç
 ortaklarını ve bu malzemenin üretildiği veya saklandığı yerleri ilgili makama haber verirse, verilen bilginin suç ortaklarının
 yakalanmasını ve bu malzemenin ele geçirilmesini sağlaması halinde, hakkında cezaya hükmolunmaz",203,Madde 201, sahte para kıymetli damga üretiminde kullanılan alet malzemeyi izinsiz üreten ülkeye sokan satan devreden satın alan kabul muhafaza kişi resmi makamlar haber alınmadan suç ortaklarını malzemenin üretildiği saklandığı yerleri makama haber verirse verilen bilginin suç ortaklarının yakalanmasını malzemenin ele geçirilmesini sağlaması halinde hakkında cezaya hükmolunmaz
"
 Mühürde sahtecilik
  Madde 202- (1) Cumhurbaşkanlığı, Türkiye Büyük Millet Meclisi Başkanlığı ve Başbakanlık tarafından kullanılan
 mührü sahte olarak üreten veya kullanan kişi, iki yıldan sekiz yıla kadar hapis cezası ile cezalandırılır",204,Madde 202, mühürde sahtecilik madde cumhurbaşkanlığı türkiye büyük millet meclisi başkanlığı başbakanlık kullanılan mührü sahte üreten kullanan kişi yıldan yıla hapis cezası cezalandırılır
"
 (2) Kamu kurum ve kuruluşlarınca veya kamu kurumu niteliğindeki meslek kuruluşlarınca kullanılan onaylayıcı veya
 belgeleyici mührü sahte olarak üreten veya kullanan kişi, bir yıldan altı yıla kadar hapis cezası ile cezalandırılır",204,Madde 202, kamu kurum kuruluşlarınca kamu kurumu niteliğindeki meslek kuruluşlarınca kullanılan onaylayıcı belgeleyici mührü sahte üreten kullanan kişi yıldan altı yıla hapis cezası cezalandırılır
"
 Mühür bozma
 Madde 203- (1) Kanun veya yetkili makamların emri uyarınca bir şeyin saklanmasını veya varlığının aynen
 korunmasını sağlamak için konulan mührü kaldıran veya konuluş amacına aykırı hareket eden kişi, altı aydan üç yıla kadar
 hapis veya adlî para cezası ile cezalandırılır",205,Madde 203, mühür bozma madde kanun yetkili makamların emri uyarınca şeyin saklanmasını varlığının korunmasını sağlamak konulan mührü kaldıran konuluş amacına aykırı hareket kişi altı aydan yıla hapis adlî para cezası cezalandırılır
"
 9015
 Resmi belgede sahtecilik
  Madde 204- (1) Bir resmi belgeyi sahte olarak düzenleyen, gerçek bir resmi belgeyi başkalarını aldatacak şekilde
 değiştiren veya sahte resmi belgeyi kullanan kişi, iki yıldan beş yıla kadar hapis cezası ile cezalandırılır",206,Madde 204, resmi belgede sahtecilik madde resmi belgeyi sahte düzenleyen gerçek resmi belgeyi başkalarını aldatacak şekilde değiştiren sahte resmi belgeyi kullanan kişi yıldan beş yıla hapis cezası cezalandırılır
"
 (2) Görevi gereği düzenlemeye yetkili olduğu resmi bir belgeyi sahte olarak düzenleyen, gerçek bir belgeyi
 başkalarını aldatacak şekilde değiştiren, gerçeğe aykırı olarak belge düzenleyen veya sahte resmi belgeyi kullanan kamu
 görevlisi üç yıldan sekiz yıla kadar hapis cezası ile cezalandırılır",206,Madde 204, görevi gereği düzenlemeye yetkili resmi belgeyi sahte düzenleyen gerçek belgeyi başkalarını aldatacak şekilde değiştiren gerçeğe aykırı belge düzenleyen sahte resmi belgeyi kullanan kamu görevlisi yıldan yıla hapis cezası cezalandırılır
"
 (3) Resmi belgenin, kanun hükmü gereği sahteliği sabit oluncaya kadar geçerli olan belge niteliğinde olması halinde,
 verilecek ceza yarısı oranında artırılır",206,Madde 204, resmi belgenin kanun hükmü gereği sahteliği sabit oluncaya geçerli belge niteliğinde halinde verilecek ceza yarısı oranında artırılır
"
 Resmî belgeyi bozmak, yok etmek veya gizlemek
  Madde 205- (1) Gerçek bir resmi belgeyi bozan, yok eden veya gizleyen kişi, iki yıldan beş yıla kadar hapis cezası ile
 cezalandırılır",207,Madde 205, resmî belgeyi bozmak etmek gizlemek madde gerçek resmi belgeyi bozan gizleyen kişi yıldan beş yıla hapis cezası cezalandırılır
"[' Suçun kamu görevlisi tarafından işlenmesi halinde, verilecek ceza yarı oranında artırılır']",207,Madde 205, suçun kamu görevlisi işlenmesi halinde verilecek ceza yarı oranında artırılır
"
 Resmi belgenin düzenlenmesinde yalan beyan
  Madde 206- (1) Bir resmi belgeyi düzenlemek yetkisine sahip olan kamu görevlisine yalan beyanda bulunan kişi, üç
 aydan iki yıla kadar hapis veya adlî para cezası ile cezalandırılır",208,Madde 206, resmi belgenin düzenlenmesinde yalan beyan madde resmi belgeyi düzenlemek yetkisine sahip kamu görevlisine yalan beyanda bulunan kişi aydan yıla hapis adlî para cezası cezalandırılır
"
 Özel belgede sahtecilik
 Madde 207- (1) Bir özel belgeyi sahte olarak düzenleyen veya gerçek bir özel belgeyi başkalarını aldatacak şekilde
 değiştiren ve kullanan kişi, bir yıldan üç yıla kadar hapis cezası ile cezalandırılır",209,Madde 207, özel belgede sahtecilik madde özel belgeyi sahte düzenleyen gerçek özel belgeyi başkalarını aldatacak şekilde değiştiren kullanan kişi yıldan yıla hapis cezası cezalandırılır
"
 (2) Bir sahte özel belgeyi bu özelliğini bilerek kullanan kişi de yukarıdaki fıkra hükmüne göre cezalandırılır",209,Madde 207, sahte özel belgeyi özelliğini bilerek kullanan kişi yukarıdaki fıkra hükmüne cezalandırılır
"
 Özel belgeyi bozmak, yok etmek veya gizlemek
  Madde 208 - (1) Gerçek bir özel belgeyi bozan, yok eden veya gizleyen kişi, bir yıldan üç yıla kadar hapis cezası ile
 cezalandırılır",210,Madde 208 , özel belgeyi bozmak etmek gizlemek madde gerçek özel belgeyi bozan gizleyen kişi yıldan yıla hapis cezası cezalandırılır
"
 Açığa imzanın kötüye kullanılması
 Madde 209- (1) Belirli bir tarzda doldurulup kullanılmak üzere kendisine teslim olunan imzalı ve kısmen veya
 tamamen boş bir kağıdı, verilme nedeninden farklı bir şekilde dolduran kişi, şikayet üzerine, üç aydan bir yıla kadar hapis
 cezası ile cezalandırılır",211,Madde 209, açığa imzanın kötüye kullanılması madde belirli tarzda doldurulup kullanılmak teslim olunan imzalı kısmen boş kağıdı verilme nedeninden farklı şekilde dolduran kişi şikayet üzerine aydan yıla hapis cezası cezalandırılır
"
 (2) İmzalı ve kısmen veya tamamen boş bir kağıdı hukuka aykırı olarak ele geçirip veya elde bulundurup da hukuki
 sonuç doğuracak şekilde dolduran kişi, belgede sahtecilik hükümlerine göre cezalandırılır",211,Madde 209, imzalı kısmen boş kağıdı hukuka aykırı ele geçirip elde bulundurup hukuki sonuç doğuracak şekilde dolduran kişi belgede sahtecilik hükümlerine cezalandırılır
"
 Resmi belge hükmünde belgeler
  Madde 210- (1) Özel belgede sahtecilik suçunun konusunun, emre veya hamile yazılı kambiyo senedi, emtiayı temsil
 eden belge, hisse senedi, tahvil veya vasiyetname olması halinde, resmi belgede sahtecilik suçuna ilişkin hükümler uygulanır",212,Madde 210, resmi belge hükmünde belgeler madde özel belgede sahtecilik suçunun konusunun emre hamile yazılı kambiyo senedi emtiayı temsil belge hisse senedi tahvil vasiyetname halinde resmi belgede sahtecilik suçuna ilişkin hükümler uygulanır
"
 (2) Gerçeğe aykırı belge düzenleyen tabip, diş tabibi, eczacı, ebe, hemşire veya diğer sağlık mesleği mensubu, üç
 aydan bir yıla kadar hapis cezası ile cezalandırılır",212,Madde 210, gerçeğe aykırı belge düzenleyen tabip diş tabibi eczacı ebe hemşire sağlık mesleği mensubu aydan yıla hapis cezası cezalandırılır
